
Sudoku: 0
Case: 0, val: 8, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 1, val: 7, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 2, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 3, val: 4, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 4, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 5, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 6, val: 6, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 7, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 8, val: 5, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 9, val: 4, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 10, val: 5, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 11, val: 6, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 12, val: 8, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 13, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 14, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 15, val: 7, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 16, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 17, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 18, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 19, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 20, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 21, val: 7, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 22, val: 6, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 23, val: 5, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 24, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 25, val: 4, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 26, val: 8, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 27, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
